French,English
partie,part
chercher,search
police,police
pensais,thought
demande,request
genre,kind
mois,month
frère,brother
car,because
mettre,to put
aucun,no
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
parle,speak
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
yeux,eyes
façon,way
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
pardon,sorry
venez,come
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
